amenities,description,name,score
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Piscina,Bar/Salón,Playa,Sala de juegos,Los niños se alojan gratis,Estacionamiento vigilado,Wifi,Vestuarios de gimnasio/spa,Entrenador personal,Sauna,Bañera de hidromasaje,Toallas para la piscina/playa,Piscina infinita,Piscina en la terraza,Piscina con vista,Piscina para adultos,Piscina al aire libre,Parte poco profunda de la piscina,Cafetería,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Bebida de bienvenida de cortesía,Comidas para niños,Comedor al aire libre,Bar en la piscina,Bar junto a la piscina,Bar en la terraza,Minigolf,Cancha de tenis,Parque acuático,Ejercicios aeróbicos,Ejercicios aeróbicos fuera del predio,Billar,Personal de entretenimiento,Entretenimiento nocturno,Karaoke,Tobogán de agua,Juegos de mesa/Rompecabezas,Club nocturno/DJ,Consola de videojuegos,Libros, DVD, música para niños,Patio de juegos para niños,Zona interior de juegos para niños,Actividades infantiles (Ideal para niños / familias),Club de niños,Piscina para niños,Equipo para niños para jugar al aire libre,Sillitas altas disponibles,Transporte al aeropuerto,Servicio de taxi,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Fotocopiadora/Fax en el centro de negocios,Spa,Tratamientos faciales,Hammam,Masaje,Salón de belleza,Solárium,Sala de vapor,Terraza en la azotea,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Cambio de divisas,Tienda de regalos,Hotel para no fumadores,Muebles de exterior,Tiendas,Reposeras/Sillas playeras,Sombrillas,Cajero automático en el lugar,Servicio de mayordomo,Portero,Enfermería,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Lavandería de autoservicio,Servicio de planchado,Cortinas blackout,Batas de baño,Aire acondicionado,Playa privada,Escritorio,Minibar,TV pantalla plana,Bañera/Ducha,Servicio de limpieza,Habitaciones interconectadas disponibles,Balcón privado,Servicio a la habitación,Caja fuerte,Sala de estar,Sofá,Teléfono,Guardarropa/Ropero,Plancha,Caja de seguridad para computadora portátil,Baños privados,Servicio de despertador/Reloj despertador,Refrigerador,Radio,Productos de tocador de cortesía,Secador de pelo,Vista al mar,Vista a la ciudad,Vista a un lugar de interés,Vista a la piscina,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para familias","El Hotel Las Américas Casa de Playa es un complejo tropical situado frente al Mar Caribe en el norte de Cartagena de Indias. Ofrece 2 piscinas, los bares La Isla y El Chicho, campo de minigolf, cancha de tenis y el Club del “Capitán Estrella” para niños. Hay boutiques, almacén de joyas y WiFi gratuito en todas las zonas. Las habitaciones del Hotel Las Américas Casa de Playa disponen de balcón privado con hamacas, aire acondicionado, ventilador de techo, minibar, conexión WiFi gratuita y TV satelital de pantalla plana. El Hotel cuenta con el restaurante Mesón de Don Cristóbal donde los huéspedes podrán disfrutar de una variedad de platos tradicionales e internacionales y entre los jardines del hotel se encuentra el restaurante Fogón del Navegante, donde se ofrecen suculentas carnes y mariscos a la brasa, acompañados de ensaladas frescas. El Hotel Las Américas Casa de Playa está a 5 minutos en automóvil del aeropuerto internacional Rafael Nuñez y a 10 minutos en automóvil al Centro Histórico de la ciudad. Cuenta con servicio de recepción de 24 horas y aparcamiento privado gratuito.",Hotel Las Américas Casa de Playa,"4,5"
"Internet de alta velocidad gratuito (WiFi),Piscina,Desayuno gratis,Bicicletas disponibles,Transporte al aeropuerto,Salas de reuniones,Masaje en pareja,Terraza en la azotea,Wifi,Toallas para la piscina/playa,Piscina al aire libre,Piscina climatizada,Bar/Salón,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Menús para dietas especiales,Bar junto a la piscina,Alquiler de autos,Tratamientos faciales,Masaje de pies,Masaje de cuerpo completo,Masaje de cabeza,Masaje,Solárium,Sala de vapor,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Periódico,Hotel para no fumadores,Muebles de exterior,Sala de estar o con TV compartida,Reposeras/Sillas playeras,Terraza solárium,Sombrillas,Servicio de mayordomo,Portero,Recepción disponible las 24 horas,Check-in y check-out privado,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Servicio de lustrado de zapatos,Batas de baño,Aire acondicionado,Servicio de limpieza,Balcón privado,Servicio a la habitación,Minibar,Refrigerador,TV pantalla plana,Caja fuerte,Botellas de agua,Caja de seguridad para computadora portátil,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para familias","Casa San Agustín es un hotel de lujo elegante y auténtico, que fue reimaginado para mantener una herencia colonial intacta dentro de tres hermosas casas coloniales que lo componen. Sus 20 habitaciones y 10 suites hermosamente decoradas conservan el auténtico estilo colombiano, a la vez que incorporan a la perfección servicios e instalaciones modernas para los viajeros de hoy. Desde los frescos originales en su biblioteca hasta los techos con vigas de madera centenarias en las habitaciones, la arquitectura de Casa San Agustín evoca la rica historia de la ciudad del siglo XVII. Cuenta con 1 restaurante con 3 ambientes diferentes, bar, pool-bar, piscina, solarium, 1 salón de reuniones hasta 40 personas, biblioteca, conserjería 24 horas, room service y servicios de masaje en una bella terraza al aire libre",Hotel Casa San Agustin,"5,0"
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Piscina,Desayuno gratis,Playa,Sala de juegos,Guardería,Estacionamiento,Wifi,Clases de actividad física,Sauna,Toallas para la piscina/playa,Piscina con vista,Piscina al aire libre,Bar/Salón,Cafetería,Restaurante,Desayuno bufet,Desayuno en la habitación,Café instantáneo gratis,Té de cortesía,Bebida de bienvenida de cortesía,Bufé apto para niños,Comidas para niños,Comedor al aire libre,Bar de aperitivos,Menús para dietas especiales,Bar junto a la piscina,Campo de golf,Ejercicios aeróbicos,Personal de entretenimiento,Entretenimiento nocturno,Karaoke,Patio,Cancha de tenis fuera del predio,Consola de videojuegos,Libros, DVD, música para niños,Patio de juegos para niños,Cadenas de televisión para niños,Zona interior de juegos para niños,Actividades infantiles (Ideal para niños / familias),Club de niños,Piscina para niños,Se admiten mascotas (Se aceptan perros / mascotas),Transporte al aeropuerto,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Spa,Envoltura corporal,Masaje en pareja,Tratamientos faciales,Masaje de pies,Masaje de cuerpo completo,Masaje de manos,Masaje de cabeza,Servicios de maquillaje,Manicura,Masaje,Silla de masajes,Masaje de cuello,Pedicura,Salón de belleza,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Acceso a sala de estar ejecutiva,Tienda de regalos,Hotel para no fumadores,Chimenea al aire libre,Muebles de exterior,Sala de estar o con TV compartida,Reposeras/Sillas playeras,Terraza solárium,Sombrillas,Cajero automático en el lugar,Portero,Paraguas,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Cortinas blackout,Batas de baño,Aire acondicionado,Escritorio,Servicio de limpieza,Habitaciones interconectadas disponibles,TV por cable/satélite,Bañera/Ducha,Balcón privado,Servicio a la habitación,Caja fuerte,Sala de estar,Sofá,Teléfono,Instalaciones de habitación VIP,Guardarropa/Ropero,Botellas de agua,Estante para la ropa,Plancha,Baños privados,Piso de azulejos/mármol,Servicio de despertador/Reloj despertador,TV pantalla plana,Películas a pedido,Productos de tocador de cortesía,Secador de pelo,Vista al mar,Vista a la piscina,Habitaciones para no fumadores,Suites,Habitaciones para familias",,Dreams Karibana Cartagena Golf & Spa Resort,"4,5"
"Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Piscina,Desayuno gratis,Salas de reuniones,Almacenamiento de equipaje,Conserje,Recepción disponible las 24 horas,Piscina en la terraza,Piscina al aire libre,Bar/Salón,Restaurante,Bar de aperitivos,Terraza solárium,Sombrillas,Paraguas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Servicio a la habitación,Caja fuerte,Bañera/Ducha,Habitaciones para no fumadores,Suites",,OSH Hotel Getsemaní,"4,5"
"Estacionamiento público pagado cercano,Internet de alta velocidad gratuito (WiFi),Clases de yoga,Piscina,Bar/Salón,Club nocturno/DJ,Terraza en la azotea,Seguridad las 24 horas,Wifi,Piscina en la terraza,Piscina con vista,Piscina al aire libre,Restaurante,Desayuno disponible,Bar junto a la piscina,Bar en la terraza,Almacenamiento de equipaje,Cocina compartida,Reposeras/Sillas playeras,Terraza solárium,Check-in las 24 horas,Recepción disponible las 24 horas,Servicio de lavandería,Aire acondicionado,Ducha a ras de suelo,Vista a la ciudad,Habitaciones para no fumadores,Suites","Selina Cartagena es una magnífica elección para los viajeros que visiten Cartagena, ya que ofrece un ambiente de moda, además de numerosos servicios diseñados para mejorar tu estancia.,Durante su estancia en Selina Cartagena, los huéspedes pueden visitar Bairro Getsemani (0,2 km) y Plaza de La Trinidad (0,2 km), algunas de las principales atracciones de Cartagena.,Las habitaciones de Selina Cartagena ofrecen aire acondicionado, y los huéspedes pueden estar conectados con wifi gratuito.,Además, durante la estancia en Selina Cartagena los huéspedes tienen acceso a terraza en la azotea. También puedes disfrutar de piscina en la azotea y desayuno.,Los viajeros que quieran gambas pueden acudir a La Vitrola, La Mulata o Café Del Mar Cartagena. Si no, puedes dirigirte a un restaurante de comida asiática como Moshi, Masaki Sushi Wok o Perú Fusión.,Cartagena también se conoce por sus monumentos y estatuas, como La Gorda Gertrudis, Monumento Pedro de Heredia y Claustro de la Merced Mausoleo de Garcia Marquez, que no se encuentran muy lejos de Selina Cartagena.,¡Disfruta de tu estancia en Cartagena!",Selina Cartagena,"4,5"
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Piscina,Bar/Salón,Playa,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Garaje de estacionamientos,Wifi,Vestuarios de gimnasio/spa,Sauna,Toallas para la piscina/playa,Piscina infinita,Piscina en la terraza,Piscina con vista,Piscina al aire libre,Restaurante,Desayuno disponible,Desayuno bufet,Bar de aperitivos,Menús para dietas especiales,Bar en la piscina,Bar junto a la piscina,Bar en la terraza,Salón de banquetes,Salas de reuniones,Spa,Masaje en pareja,Tratamientos faciales,Masaje de cuerpo completo,Masaje de cabeza,Masaje,Salón de belleza,Terraza en la azotea,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Reposeras/Sillas playeras,Terraza solárium,Portero,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Servicio de limpieza,Servicio a la habitación,Caja fuerte,Instalaciones de habitación VIP,Minibar,TV pantalla plana,Vista al mar,Habitaciones para no fumadores,Suites,Habitaciones para familias","¿Buscas donde alojarte en Cartagena? Entonces no te pierdas Hyatt Regency Cartagena, un hotel romántico que te acerca a lo mejor de Cartagena.,Hyatt Regency Cartagena es un hotel romántico con televisor de pantalla plana, minibar y aire acondicionado en las habitaciones, y es fácil permanecer conectado durante la estancia, ya que ofrece wifi gratuito para los huéspedes.,El hotel tiene terraza en la azotea, conserje y servicio de habitaciones. Además, los huéspedes pueden disfrutar de piscina y desayuno, lo que lo ha convertido en una opción popular entre los viajeros que visitan Cartagena. Para los huéspedes que tengan coche, hay parking gratis disponible.,Los puntos de referencia que hay por los alrededores, como Santuario de San Pedro Claver (1,2 km) y Plaza de San Pedro Claver (1,3 km) hacen de Hyatt Regency Cartagena un magnífico sitio donde alojarse en Cartagena.,Durante tu visita, no dejes de ir a uno de los restaurantes de cangrejo conocidos de Cartagena como La Vitrola, Carmen Restaurant Cartagena y La Cevicheria, que se encuentran cerca de Hyatt Regency Cartagena.,Si buscas cosas que hacer, considera Castillo de San Felipe de Barajas (1,9 km), que es una atracción popular entre los turistas a la que puedes llegar andando.,Estamos seguros de que disfrutarás de tu estancia en Hyatt Regency Cartagena mientras descubres todo lo que Cartagena ofrece.",Hyatt Regency Cartagena,"4,5"
"Garaje de estacionamientos,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Piscina,Desayuno gratis,Playa,Transporte al aeropuerto,Centro de negocios con acceso a Internet,Wifi,Vestuarios de gimnasio/spa,Bañera de hidromasaje,Toallas para la piscina/playa,Piscina infinita,Piscina en la terraza,Piscina con vista,Piscina al aire libre,Bar/Salón,Restaurante,Desayuno bufet,Bar de aperitivos,Bar en la piscina,Bar junto a la piscina,Bar en la terraza,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Spa,Tratamientos faciales,Masaje,Salón de belleza,Almacenamiento de equipaje,Conserje,Hotel para no fumadores,Servicio de mayordomo,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Aire acondicionado,Balcón privado,Servicio a la habitación,Caja fuerte,Instalaciones de habitación VIP,Plancha,Minibar,TV pantalla plana,Vista al mar,Habitaciones para no fumadores,Suites,Habitaciones para familias","Si buscas un hotel de lujo en Cartagena, no te pierdas Estelar Cartagena de Indias Hotel & Convention Center.,Al contar con muchos conocidos puntos de referencia en las inmediaciones, como Santuario de San Pedro Claver (1,3 km) y Plaza de San Pedro Claver (1,3 km), los huéspedes de Estelar Cartagena de Indias Hotel & Convention Center tienen la oportunidad de visitar con facilidad algunas de las atracciones más populares de Cartagena.,Disfrutarás de agradables habitaciones que incluyen minibar y aire acondicionado, y podrás estar conectado durante tu estancia, ya que Estelar Cartagena de Indias Hotel & Convention Center ofrece wifi gratuito a los huéspedes.,El hotel tiene servicio de habitaciones. Además, Estelar Cartagena de Indias Hotel & Convention Center ofrece piscina en la azotea y desayuno incluido para poder relajarte tras un ajetreado día. Hay parking gratis disponible para huéspedes con coche.,Mientras estás aquí, asegúrate de ir a restaurantes de comida china como Sushi Caribe, Restaurante Huakichan y Eat Wok, que se encuentran cerca de Estelar Cartagena de Indias Hotel & Convention Center.,Si te interesa explorar Cartagena, visita un arrecife como Oceanario.,El personal de Estelar Cartagena de Indias Hotel & Convention Center está deseando atenderte durante tu visita.",Estelar Cartagena De Indias Hotel & Centro De Convenciones,"4,5"
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Piscina,Bar/Salón,Playa,Sala de juegos,Patio de juegos para niños,Estacionamiento vigilado,Wifi,Vestuarios de gimnasio/spa,Sauna,Toallas para la piscina/playa,Piscina para adultos,Piscina al aire libre,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Happy Hour,Comidas para niños,Comedor al aire libre,Bar de aperitivos,Minigolf,Personal de entretenimiento,Patio,Zona interior de juegos para niños,Actividades infantiles (Ideal para niños / familias),Piscina para niños,Transporte al aeropuerto,Servicio de taxi,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Masaje en pareja,Tratamientos faciales,Baño de pies,Masaje de pies,Masaje de cuerpo completo,Hammam,Masaje de manos,Masaje de cabeza,Servicios de maquillaje,Manicura,Masaje,Masaje de cuello,Pedicura,Salón de belleza,Solárium,Sala de vapor,Seguridad las 24 horas,Almacenamiento de equipaje,Capilla/Santuario,Conserje,Cambio de divisas,Hotel para no fumadores,Muebles de exterior,Zona de picnic,Tiendas,Reposeras/Sillas playeras,Terraza solárium,Sombrillas,Cajero automático en el lugar,Servicio de mayordomo,Kit de primeros auxilios,Enfermería,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Cortinas blackout,Batas de baño,Aire acondicionado,Escritorio,Servicio de limpieza,Minibar,TV por cable/satélite,Bañera/Ducha,Servicio a la habitación,Caja fuerte,Teléfono,Guardarropa/Ropero,Caja de seguridad para computadora portátil,Baños privados,Servicio de despertador/Reloj despertador,Refrigerador,TV pantalla plana,Productos de tocador de cortesía,Secador de pelo,Vista al mar,Vista a la ciudad,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para familias","Descubre por qué tantos viajeros ven Hotel Caribe By Faranda Grand como el hotel ideal cuando visitan Cartagena. Además de aportar la combinación ideal de calidad, comodidad y ubicación, ofrece un ambiente romántico con una amplia variedad de servicios diseñados para viajeros como tú.,Al contar con muchos conocidos puntos de referencia en las inmediaciones, como Santuario de San Pedro Claver (2,9 km) y Plaza de San Pedro Claver (2,9 km), los huéspedes de Hotel Caribe tienen la oportunidad de visitar con facilidad algunas de las atracciones más populares de Cartagena.,Para que te sientas como en casa, las habitaciones en el hotel incluyen televisor de pantalla plana, minibar y aire acondicionado, y mantenerte conectado es fácil, ya que hay wifi gratuito disponible.,Los huéspedes tienen acceso a conserje y servicio de habitaciones durante su estancia en Caribe Hotel. Además, Hotel Caribe ofrece piscina y bar junto a la piscina, lo que hará tu viaje a Cartagena incluso más gratificante. Y otra ventaja es que hay parking gratis disponible para los huéspedes.,Mientras estés en Cartagena no dejes de probar demandados platos de cangrejo en La Vitrola, Carmen Restaurant Cartagena o La Cevicheria.,Cartagena también se conoce por sus museos de arte, como Museo de Arte Moderno, La Presentación Casa Museo Arte y Cultura y Museo de Arte Moderno, que no se encuentran muy lejos de Hotel Caribe.,Para Hotel Caribe By Faranda Grand tu comodidad y satisfacción son lo primero, y están deseando darte la bienvenida a Cartagena.","Hotel Caribe By Faranda Grand, A Member of Radisson Individuals","4,5"
"Estacionamiento en la calle,Internet de alta velocidad gratuito (WiFi),Piscina,Bar/Salón,Playa,Alquiler de bicicletas,Cadenas de televisión para niños,Zona interior de juegos para niños,Wifi,Toallas para la piscina/playa,Piscina en la terraza,Piscina con vista,Piscina al aire libre,Parte poco profunda de la piscina,Cafetería,Restaurante,Desayuno disponible,Desayuno bufet,Bufé apto para niños,Bar de aperitivos,Menús para dietas especiales,Bar en la piscina,Bar junto a la piscina,Bar en la terraza,Sala de juegos,Personal de entretenimiento,Entretenimiento nocturno,Karaoke,Juegos de mesa/Rompecabezas,Club nocturno/DJ,Consola de videojuegos,Actividades infantiles (Ideal para niños / familias),Club de niños,Transporte al aeropuerto,Servicio de traslado en autobús,Servicio de taxi,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Fotocopiadora/Fax en el centro de negocios,Terraza en la azotea,Almacenamiento de equipaje,Conserje,Tienda de regalos,Hotel para no fumadores,Reposeras/Sillas playeras,Terraza solárium,Servicio de mayordomo,Portero,Enfermería,Check-in las 24 horas,Recepción disponible las 24 horas,Check-in y check-out exprés,Check-in y check-out privado,Secador de ropa,Limpieza en seco,Servicio de lavandería,Servicio de planchado,Servicio de lustrado de zapatos,Cortinas blackout,Batas de baño,Aire acondicionado,Escritorio,Servicio de limpieza,Minibar,TV pantalla plana,Sofá cama,Servicio a la habitación,Caja fuerte,Sofá,Teléfono,Instalaciones de habitación VIP,Guardarropa/Ropero,Botellas de agua,Plancha,Servicio de despertador/Reloj despertador,Refrigerador,Vista al mar,Vista a la ciudad,Habitaciones para no fumadores,Suites,Habitaciones para familias","A sólo 10 minutos del aeropuerto internacional Rafael Núñez y 5 minutos del centro histórico, bordeado por la más encantadora zona de playa, mar y sol de la ciudad de Cartagena. 311 habitaciones Standard, Superiores, Suites y Junior Suites; píscina panorámica en el piso 18 con la mejor vista hacia la ciudad y zona moderna de Bocagrande, además de recreación dirigida para adultos y niños y club infantil “Pelikanos”. Deleite su paladar en nuestro Restaurante Le Place Buffet con la mejor comida nacional e internacional ó disfrute Platos Gourmet en Kazabe Restaurant & Sushi Bar. Además contamos con centro de Negocios con Internet banda ancha, WIFI (GRATIS), Room Service, Cajillas de seguridad, servicio telefónico, lavandería, enfermería, cafetería, Discoteca Rezaka Bar Club, cuarto de equipaje, zona de estacionamiento y pasaje comercial.",Hotel Cartagena Plaza,"4,5"
"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Gimnasio / Sala de entrenamiento,Piscina,Bar/Salón,Playa,Sala de juegos,Patio de juegos para niños,Garaje de estacionamientos,Wifi,Vestuarios de gimnasio/spa,Entrenador personal,Sauna,Bañera de hidromasaje,Toallas para la piscina/playa,Piscina infinita,Piscina en la terraza,Piscina con vista,Piscina para adultos,Piscina al aire libre,Piscina climatizada,Parte poco profunda de la piscina,Cafetería,Restaurante,Desayuno disponible,Desayuno bufet,Desayuno en la habitación,Bebida de bienvenida de cortesía,Comidas para niños,Comedor al aire libre,Bar de aperitivos,Bar en la piscina,Bar junto a la piscina,Bar en la terraza,Minigolf,Cancha de tenis,Ejercicios aeróbicos,Ejercicios aeróbicos fuera del predio,Billar,Personal de entretenimiento,Entretenimiento nocturno,Karaoke,Parque acuático fuera del predio,Tobogán de agua,Juegos de mesa/Rompecabezas,Club nocturno/DJ,Consola de videojuegos,Zona interior de juegos para niños,Actividades infantiles (Ideal para niños / familias),Club de niños,Piscina para niños,Equipo para niños para jugar al aire libre,Sillitas altas disponibles,Transporte al aeropuerto,Servicio de taxi,Centro de negocios con acceso a Internet,Instalaciones para conferencias,Salón de banquetes,Salas de reuniones,Fotocopiadora/Fax en el centro de negocios,Spa,Tratamientos faciales,Hammam,Masaje,Salón de belleza,Solárium,Sala de vapor,Terraza en la azotea,Seguridad las 24 horas,Almacenamiento de equipaje,Conserje,Tienda de regalos,Hotel para no fumadores,Muebles de exterior,Tiendas,Solárium,Reposeras/Sillas playeras,Terraza solárium,Sombrillas,Cajero automático en el lugar,Servicio de mayordomo,Portero,Enfermería,Recepción disponible las 24 horas,Limpieza en seco,Servicio de lavandería,Lavandería de autoservicio,Servicio de planchado,Cortinas blackout,Habitaciones insonorizadas,Aire acondicionado,Playa privada,Escritorio,Minibar,TV pantalla plana,Bañera/Ducha,Batas de baño,Servicio de limpieza,Habitaciones interconectadas disponibles,Balcón privado,Servicio a la habitación,Caja fuerte,Sala de estar,Sofá,Teléfono,Guardarropa/Ropero,Plancha,Caja de seguridad para computadora portátil,Baños privados,Servicio de despertador/Reloj despertador,Refrigerador,Radio,Productos de tocador de cortesía,Secador de pelo,Vista al mar,Vista a la ciudad,Vista a un lugar de interés,Vista a la piscina,Suite nupcial,Habitaciones para no fumadores,Suites,Habitaciones para familias","El Hotel Las Américas Torre del Mar es un complejo de lujo situado frente al mar en la zona norte de Cartagena de Indias en la playa La Boquilla. Ofrece 7 piscinas, los bares Aqua Lounge, Sport e Infinito, un centro de Spa y bienestar, gimnasio y un centro de negocios. Hay tiendas de ropa y café, además de conexión WiFi gratuita en todas las zonas. Las habitaciones del Hotel Las Américas Torre del Mar tienen minibar, TV de pantalla plana y balcón con vista al mar, a la ciudad o la Ciénaga de la Virgen. El restaurante Columbus Al Forno es una zona de comedor gourmet donde se pueden tomar varios platos internacionales. El restaurante gourmet ""ERRE” del reconocido chef Ramón Freixa, galardonado con 2 estrellas Michelin en su restaurante en Madrid, goza de vistas espectaculares al océano en el piso 10 de la torre. Presenta una decoración elegante y es un lugar ideal para comidas de negocios o cenas románticas. El Hotel Las Américas Torre del Mar está a 5 minutos en automóvil del aeropuerto internacional Rafael Núñez y a 10 minutos en automóvil al Centro Histórico de la ciudad. Servicio de recepción 24 horas y aparcamiento privado gratuito.Las habitaciones del Hotel Las Américas Torre del Mar tienen minibar, TV de pantalla plana y balcón con vista al mar, a la ciudad o la Ciénaga de la Virgen. El restaurante Columbus Al Forno es una zona de comedor gourmet donde se pueden tomar varios platos internacionales.,El restaurante gourmet ""ERRE” del reconocido chef Ramón Freixa, galardonado con 2 estrellas Michelin en su restaurante en Madrid, goza de vistas espectaculares al océano en el piso 10 de la torre. Presenta una decoración elegante y es un lugar ideal para comidas de negocios o cenas románticas.,El Hotel Las Américas Torre del Mar está a 5 minutos en automóvil del aeropuerto internacional Rafael Nuñez y a 10 minutos en automóvil al Centro Histórico de la ciudad. Servicio de recepción 24 horas y aparcamiento privado gratuito.",Hotel Las Américas Torre del Mar Cartagena de Indias,"4,5"
